Model,AUC,Accuracy,Sensitivity,Specificity,Precision,F1
XGBoost,0.9408000000000001,0.9428571428571428,0.7333333333333333,0.968,0.7333333333333333,0.7333333333333333
LASSO,0.9381333333333333,0.9214285714285714,0.7333333333333333,0.944,0.6111111111111112,0.6666666666666666
Logistic Regression,0.9376,0.95,0.8666666666666667,0.96,0.7222222222222222,0.7878787878787877
