row_order,requested_concept_code,target_concept_code,concept_code,standard_concept_name,n_code_target,n_code_no_target,n_target_no_code,n_no_code_no_target,n_target_before_code,n_code_before_target,odds_ratio,log_odds_ratio,total_with_code
25011,target_pcr_positive,target_pcr_positive,30156-Symptom_GI-4,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; Change in or loss of appetite",22,27,30,447,30,27,12.004470938897168,2.485279158639393,49
57182,target_pcr_positive,target_pcr_positive,32604-Symptoms_Ill_17,(If applicable) The participant indicates this was a first symptom related to: Muscle aches (not due to exercise),16,17,36,457,36,17,11.818003913894325,2.4696241241041967,33
12556,target_pcr_positive,target_pcr_positive,30141-covid_tst_symptoms-21,"Symptoms experienced prior to getting tested, selected; Runny nose",20,24,32,450,32,24,11.598430141287285,2.450869756306382,44
20781,target_pcr_positive,target_pcr_positive,30153-Symptoms-2,"In the last 14 days, the participant experienced the following symptoms, selected; Fever or feeling feverish",26,38,26,436,26,38,11.337662337662337,2.4281301339859183,64
21016,target_pcr_positive,target_pcr_positive,30153-Symptoms-3,"In the last 14 days, the participant experienced the following symptoms, selected; Muscle aches (not due to exercise)",29,48,23,426,23,48,11.03904364992323,2.4014384111839573,77
29006,target_pcr_positive,target_pcr_positive,30160-Symptom_Inflamm-5,"In the last 14 days,  the participant experienced the following  inflammatory symptoms; Excessive sweating",15,17,37,457,37,17,10.805714285714286,2.3800750947349436,32
10676,target_pcr_positive,target_pcr_positive,30141-covid_tst_symptoms-12,"Symptoms experienced prior to getting tested, selected; Headaches",21,28,31,446,31,28,10.693121693121693,2.3696007023439787,49
45982,target_pcr_positive,target_pcr_positive,31396-join_hear-6,"Participant heard about the study, because of: Invited by Research Staff member",25,68,13,373,13,68,10.299270072992702,2.3320730260246894,93
13261,target_pcr_positive,target_pcr_positive,30141-covid_tst_symptoms-26,"Symptoms experienced prior to getting tested, selected; Stomach or abdominal pain",6,6,46,468,46,6,10.075268817204302,2.310083789085166,12
60237,target_pcr_positive,target_pcr_positive,32617-Symptoms_Ill_30,(If applicable) The participant indicates this was a first symptom related to: Wheezing,5,5,47,469,47,5,9.884210526315789,2.290938587607722,10
55067,target_pcr_positive,target_pcr_positive,32595-Symptoms_Ill_8,(If applicable) The participant indicates this was a first symptom related to: Difficulty breathing,9,10,43,464,43,10,9.66119321291735,2.268117161602272,19
15376,target_pcr_positive,target_pcr_positive,30141-covid_tst_symptoms-7,"Symptoms experienced prior to getting tested, selected; Diarrhea",11,13,41,461,41,13,9.473003123605533,2.248445976631075,24
25246,target_pcr_positive,target_pcr_positive,30156-Symptom_GI-5,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; Nausea or vomiting",18,25,34,449,34,25,9.452401250355214,2.2462688097942594,43
13026,target_pcr_positive,target_pcr_positive,30141-covid_tst_symptoms-25,"Symptoms experienced prior to getting tested, selected; Sore throat",15,20,37,454,37,20,9.16390243902439,2.215272118422007,35
